1205: [1, 14, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1768: [1, 5, 13, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1887: [1, 8, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2121: [23, 28, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2772: [11, 16, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3493: [3, 4, 4, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6743: [6, 9, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7603: [2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8300: [1, 20, 54, 78, 74, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
10158: [4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11800: [0, 0, 1, 2, 6, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12199: [0, 0, 0, 1, 6, 13, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
13519: [10, 11, 13, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
14708: [2, 13, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15414: [3, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
15460: [1, 15, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16931: [0, 6, 3, 5, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17253: [0, 1, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
17650: [11, 5, 16, 22, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20353: [0, 2, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
20371: [0, 2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21345: [1, 4, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
32081: [0, 1, 12, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
33950: [0, 1, 3, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34201: [0, 1, 5, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34453: [0, 0, 21, 40, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
35346: [0, 5, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
35521: [1, 0, 3, 18, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
51412: [21, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
51894: [10, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
74368: [0, 2, 0, 0, 1, 3, 1, 1, 3, 3, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0]
74440: [3, 0, 7, 12, 10, 11, 5, 3, 10, 3, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0]
74464: [0, 1, 1, 3, 4, 1, 3, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
74545: [0, 2, 1, 1, 7, 6, 1, 13, 4, 7, 1, 6, 1, 0, 0, 0, 0, 0, 0, 0]
74720: [0, 0, 1, 3, 3, 4, 0, 1, 0, 2, 1, 5, 2, 0, 0, 0, 0, 0, 0, 0]
74805: [0, 0, 1, 2, 2, 4, 3, 3, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0]
74807: [0, 1, 1, 1, 2, 1, 2, 0, 3, 8, 5, 5, 11, 0, 0, 0, 0, 0, 0, 0]
75058: [0, 8, 9, 4, 6, 10, 5, 2, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]
75099: [0, 0, 3, 4, 3, 0, 5, 0, 3, 1, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0]
75162: [4, 1, 3, 6, 1, 3, 1, 0, 1, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0]
75216: [2, 4, 3, 10, 8, 16, 5, 22, 9, 7, 4, 6, 13, 7, 0, 0, 0, 0, 0, 0]
75231: [0, 0, 3, 7, 13, 12, 21, 7, 8, 12, 10, 19, 26, 1, 0, 0, 0, 0, 0, 0]
75244: [1, 0, 1, 4, 3, 3, 1, 3, 1, 5, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0]
75278: [0, 2, 1, 1, 0, 0, 3, 4, 3, 1, 0, 1, 2, 5, 0, 0, 0, 0, 0, 0]
75338: [2, 7, 3, 4, 5, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0]
75374: [0, 3, 2, 2, 1, 4, 1, 1, 7, 3, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0]
75499: [0, 1, 0, 0, 4, 0, 0, 5, 1, 0, 0, 1, 4, 4, 0, 0, 0, 0, 0, 0]
75549: [1, 0, 2, 1, 3, 2, 0, 1, 1, 6, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0]
75662: [2, 1, 6, 3, 3, 3, 10, 0, 6, 1, 4, 1, 4, 0, 0, 0, 0, 0, 0, 0]
75801: [0, 0, 8, 8, 5, 5, 9, 2, 3, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0]
76100: [1, 0, 7, 1, 6, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
76166: [0, 0, 2, 1, 3, 8, 4, 1, 3, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0]
76229: [0, 0, 1, 2, 4, 1, 0, 1, 1, 5, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0]
76308: [2, 5, 3, 3, 7, 5, 3, 1, 2, 6, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0]
76356: [2, 0, 2, 1, 2, 5, 3, 2, 5, 1, 0, 0, 2, 0, 0, 2, 1, 0, 0, 0]
76438: [0, 1, 1, 5, 2, 3, 1, 0, 4, 2, 4, 3, 3, 0, 0, 0, 0, 0, 0, 0]
76455: [0, 0, 0, 6, 1, 4, 5, 5, 8, 2, 7, 3, 6, 0, 0, 0, 0, 0, 0, 0]
76739: [0, 2, 3, 1, 2, 4, 1, 1, 0, 4, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0]
76901: [0, 3, 1, 2, 3, 4, 1, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]
76954: [3, 0, 6, 0, 1, 0, 5, 1, 1, 1, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0]
77188: [0, 0, 0, 1, 0, 8, 5, 1, 3, 2, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0]
77217: [0, 1, 3, 2, 4, 5, 1, 1, 0, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]
77267: [0, 2, 4, 2, 1, 0, 0, 2, 1, 3, 0, 1, 1, 2, 1, 2, 1, 0, 0, 0]
77269: [1, 0, 8, 7, 6, 5, 2, 4, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
